,代码,名称,盈利额
663,300176,派生科技,11151.0
664,002335,科华数据,11147.0
665,600883,博闻科技,11137.0
666,300570,太辰光,11134.0
667,002662,京威股份,11132.0
668,300143,盈康生命,11127.0
669,300780,德恩精工,11124.0
670,300689,澄天伟业,11109.0
671,300410,正业科技,11102.0
672,300555,路通视信,11092.0
673,300693,盛弘股份,11086.0
674,600419,天润乳业,11058.0
675,300155,安居宝,11056.0
676,000498,山东路桥,11050.0
677,600093,*ST易见,11046.0
678,603843,正平股份,11040.0
679,603588,高能环境,11035.0
680,300493,润欣科技,11007.0
681,300046,台基股份,11005.0
682,002768,国恩股份,11003.0
683,300672,国科微,10986.0
684,300890,翔丰华,10973.0
685,002241,歌尔股份,10962.0
686,002985,北摩高科,10944.0
687,002955,鸿合科技,10933.0
688,002487,大金重工,10913.0
689,603657,春光科技,10891.0
690,300116,保力新,10884.0
691,300316,晶盛机电,10884.0
692,002578,闽发铝业,10878.0
693,002285,世联行,10864.0
694,603833,欧派家居,10861.0
695,600486,扬农化工,10836.0
696,300590,移为通信,10830.0
697,688388,嘉元科技,10830.0
698,301024,霍普股份,10824.0
699,002651,利君股份,10812.0
700,688665,四方光电,10803.0
701,300035,中科电气,10793.0
702,002825,纳尔股份,10783.0
703,000572,海马汽车,10772.0
704,688509,正元地信,10764.0
705,600539,狮头股份,10759.0
706,300549,优德精密,10731.0
707,301052,果麦文化,10722.0
708,600593,*ST圣亚,10714.0
709,600429,三元股份,10704.0
710,002126,银轮股份,10700.0
711,300951,博硕科技,10695.0
712,002390,信邦制药,10682.0
713,300903,科翔股份,10674.0
714,002494,华斯股份,10662.0
715,600138,中青旅,10656.0
716,002298,中电兴发,10650.0
717,300676,华大基因,10638.0
718,300849,锦盛新材,10629.0
719,605089,味知香,10626.0
720,002082,万邦德,10616.0
721,300088,长信科技,10611.0
722,300083,创世纪,10606.0
723,603986,兆易创新,10606.0
724,688092,爱科科技,10590.0
725,300340,科恒股份,10583.0
726,002610,爱康科技,10582.0
727,603256,宏和科技,10563.0
728,300582,英飞特,10558.0
729,300705,九典制药,10557.0
730,600456,宝钛股份,10533.0
