trade_date,pb1220,pb1098,pb976,pb854,pb732,pb610,pb488,pb366,pb244,pb122,pb1,min1,min2,min3,max1,max2,max3,close
20051221,2.6955,2.5424,2.3682,2.4,2.45,2.4434,2.1861,1.6847,1.3343,1.2573,0.948,1.2573,1.3343,1.6847,2.6955,2.5424,2.45,3.26
20051222,2.6933,2.5386,2.3667,2.3988,2.4485,2.4387,2.181,1.6789,1.3312,1.2552,0.9393,1.2552,1.3312,1.6789,2.6933,2.5386,2.4485,3.27
20051223,2.691,2.5348,2.3652,2.3975,2.4469,2.434,2.1757,1.673,1.3282,1.2531,0.9422,1.2531,1.3282,1.673,2.691,2.5348,2.4469,3.3
20051226,2.6887,2.531,2.3638,2.3963,2.4454,2.4293,2.1705,1.6672,1.3253,1.2514,0.9508,1.2514,1.3253,1.6672,2.6887,2.531,2.4454,3.33
20051227,2.6866,2.5272,2.3624,2.395,2.4439,2.4248,2.1653,1.6613,1.3224,1.2497,0.9595,1.2497,1.3224,1.6613,2.6866,2.5272,2.4439,3.32
20051228,2.6844,2.5234,2.361,2.3937,2.4424,2.4203,2.1599,1.6556,1.3196,1.248,0.9566,1.248,1.3196,1.6556,2.6844,2.5234,2.4424,3.28
20051229,2.6822,2.5194,2.3597,2.3925,2.4409,2.4158,2.1545,1.6499,1.3167,1.2454,0.9451,1.2454,1.3167,1.6499,2.6822,2.5194,2.4409,3.32
20051230,2.68,2.5155,2.3585,2.3913,2.4395,2.4113,2.1493,1.6443,1.314,1.2427,0.9566,1.2427,1.314,1.6443,2.68,2.5155,2.4395,3.31
20060104,2.6778,2.5116,2.3572,2.3901,2.4381,2.407,2.144,1.6387,1.3114,1.2401,0.9537,1.2401,1.3114,1.6387,2.6778,2.5116,2.4381,3.3
20060105,2.6756,2.5078,2.3559,2.3888,2.4367,2.4027,2.1385,1.6333,1.3087,1.2367,0.9508,1.2367,1.3087,1.6333,2.6756,2.5078,2.4367,3.42
20060106,2.6734,2.504,2.3546,2.3877,2.4353,2.3984,2.1329,1.6279,1.3061,1.2339,0.9854,1.2339,1.3061,1.6279,2.6734,2.504,2.4353,3.42
20060109,2.6712,2.5002,2.3533,2.3865,2.434,2.3943,2.1274,1.6226,1.3035,1.2315,0.9854,1.2315,1.3035,1.6226,2.6712,2.5002,2.434,3.47
20060110,2.6689,2.4964,2.3521,2.3854,2.4327,2.3901,2.1218,1.6172,1.3009,1.2291,0.9998,1.2291,1.3009,1.6172,2.6689,2.4964,2.4327,3.48
20060111,2.6667,2.4926,2.3509,2.3843,2.4313,2.386,2.1162,1.6121,1.2982,1.2268,1.0027,1.2268,1.2982,1.6121,2.6667,2.4926,2.4313,3.53
20060112,2.6644,2.4886,2.3497,2.3832,2.4299,2.3817,2.1106,1.607,1.2956,1.2242,1.0171,1.2242,1.2956,1.607,2.6644,2.4886,2.4299,3.53
20060113,2.6621,2.4846,2.3484,2.3822,2.4285,2.3775,2.1056,1.602,1.2929,1.2216,1.0171,1.2216,1.2929,1.602,2.6621,2.4846,2.4285,3.47
20060116,2.6597,2.4806,2.3471,2.3811,2.4271,2.3733,2.1004,1.5977,1.2902,1.2187,0.9998,1.2187,1.2902,1.5977,2.6597,2.4806,2.4271,3.44
20060117,2.6574,2.4766,2.3459,2.3799,2.4257,2.369,2.0952,1.5934,1.2875,1.2158,0.9912,1.2158,1.2875,1.5934,2.6574,2.4766,2.4257,3.44
20060118,2.6551,2.4727,2.3446,2.3788,2.4243,2.3651,2.0901,1.5891,1.285,1.2128,0.9912,1.2128,1.285,1.5891,2.6551,2.4727,2.4243,3.52
20060119,2.6528,2.4687,2.3434,2.3777,2.4229,2.361,2.085,1.5847,1.2827,1.2095,1.0142,1.2095,1.2827,1.5847,2.6528,2.4687,2.4229,3.53
20060120,2.6505,2.4646,2.3421,2.3766,2.4215,2.357,2.0798,1.5803,1.2808,1.2064,1.0171,1.2064,1.2808,1.5803,2.6505,2.4646,2.4215,3.44
20060123,2.6482,2.4607,2.3408,2.3755,2.4201,2.353,2.0745,1.5758,1.2788,1.2031,0.9912,1.2031,1.2788,1.5758,2.6482,2.4607,2.4201,3.4
20060124,2.6459,2.4568,2.3395,2.3743,2.4187,2.3491,2.0694,1.5715,1.2766,1.2004,0.9797,1.2004,1.2766,1.5715,2.6459,2.4568,2.4187,3.48
20060125,2.6436,2.4529,2.3382,2.3731,2.4173,2.3453,2.0643,1.5672,1.2747,1.1978,1.0027,1.1978,1.2747,1.5672,2.6436,2.4529,2.4173,3.69
20060206,2.6414,2.4491,2.337,2.3721,2.416,2.3415,2.0594,1.5628,1.273,1.1958,1.0632,1.1958,1.273,1.5628,2.6414,2.4491,2.416,3.74
